company,job_title,location,posted_date,stipend
Auwl Assembly Ventures Pvt. Ltd.,Executive Assistant - CRM,Mumbai,1 day ago,"₹ 2,00,000 - 2,40,000"
UniAcco,Sales Executive,Mumbai,2 days ago,"₹ 3,00,000 - 3,60,000"
Fahad  Siddiqui,Business Development Associate,Bhopal,,"₹ 3,00,000 - 3,50,000"
Skillyards Versatility Pvt Ltd.,Business Development Manager,Agra,,"₹ 2,40,000 - 4,00,000"
PeerXP Technologies,Executive Assistant To CEO,Bangalore,2 days ago,"₹ 2,00,000 - 3,00,000"
Spotlight Design House,Graphic Designer And Operations Associate,Mumbai,2 days ago,"₹ 2,00,000"
CollegeDekho.com,Academic Counselor,Gurgaon,2 days ago,"₹ 2,00,000 - 3,00,000"
Uboard India Limited,Aftersales Executive,Delhi,1 day ago,"₹ 2,20,000 - 2,40,000"
WeMakeScholars,Junior Sales Officer,Bellary,1 day ago,"₹ 4,06,000 - 4,30,000"
UniAcco,Business Development Specialist,Mumbai,2 days ago,"₹ 3,00,000 - 3,60,000"
QuadB Tech,Digital Marketing Executive,Ludhiana,,"₹ 2,00,000 - 5,00,000"
Second Medic,Business Development Manager,Navi Mumbai,2 days ago,"₹ 3,00,000 - 5,00,000"
Sentriscope Data Intelligence Private Limited,Project Executive,Noida,1 day ago,"₹ 2,20,000 - 2,50,000"
Second Medic,Business Development Executive,Navi Mumbai,2 days ago,"₹ 3,00,000 - 5,00,000"
The Future University,Customer Service Executive,Mohali,,"₹ 2,40,000 - 3,00,000"
Saphnix Life Sciences,Inside Sales Executive (Pharma),Zirakpur,,"₹ 2,00,000 - 2,40,000"
The Skillians,Business Development Specialist,Pune,2 days ago,"₹ 2,50,000 - 3,00,000"
Prime Dental Products Pvt Ltd,Business Development Executive,Delhi,2 days ago,"₹ 2,40,000 - 6,00,000"
Zedex Info Private Limited,Data Entry Associate,Mumbai,2 days ago,"₹ 2,00,000"
Apps N Devices,Human Resources (HR) Associate,Bangalore,2 days ago,"₹ 2,00,000"
Notta Sin Foods Pvt Ltd,Business Development Sales (Female Only),Delhi,2 days ago,"₹ 2,00,000 - 3,00,000"
Axe Consultancy And Security Services LLC,Human Resources (HR) Executive,Dehradun,,"₹ 2,40,000 - 4,00,000"
CollegeDekho.com,Telecaller,Bangalore,2 days ago,"₹ 2,00,000 - 3,00,000"
Movie'ing Moments,Creative Director,Mumbai,,"₹ 3,60,000 - 8,40,000"
The Skillians,Business Development Specialist,Gurgaon,2 days ago,"₹ 2,50,000 - 3,00,000"
Apps N Devices,Technical Executive,Singrauli,2 days ago,"₹ 2,00,000"
Impetus Infosolutions,Application Engineer-MFG,Pune,,"₹ 2,00,000 - 2,20,000"
Impetus Infosolutions,Application Engineer - AEC,Pune,,"₹ 2,00,000 - 2,10,000"
Thomas Cook,Telecaller,Mumbai,,"₹ 2,50,000 - 3,50,000"
Limescreen Entertainment & Productions,Photographer,Bangalore,2 days ago,"₹ 2,40,000 - 3,00,000"
Movie'ing Moments,Business Development Manager,Mumbai,,"₹ 4,80,000 - 7,50,000"
Wehire Talent Solutions,Customer Service Executive,Mumbai,,"₹ 2,00,000 - 2,50,000"
RAVESHIA COLOURS PRIVATE LIMITED,Administration Executive,Mumbai,,"₹ 3,50,000 - 5,00,000"
Samarik Digital (Samarik Tech India Private Limited),Associate Graphic Designer,Mumbai,,"₹ 2,40,000 - 3,00,000"
Limescreen Entertainment & Productions,Makeup Artist,Hyderabad,2 days ago,"₹ 2,00,000 - 2,40,000"
PROVEN PATH CONSULTANCY,Corporate Sales Executive,Gurgaon,,"₹ 2,00,000 - 7,00,000"
Anwentec Innovations Pvt Ltd,Business Development Associate,Hyderabad,2 days ago,"₹ 2,00,000 - 5,00,000"
Unityque,Business Development Associate,Chandigarh,,"₹ 6,00,000 - 8,00,000"
Immabeme Solutions Private Limited,Corporate Sales Executive,Chandigarh,,"₹ 2,00,000 - 5,00,000"
RBK Technologies,Associate Telecaller,Pune,2 days ago,"₹ 3,00,000 - 3,50,000"
Prime Dental Products Pvt Ltd,Business Development Executive,Hyderabad,2 days ago,"₹ 2,40,000 - 6,00,000"
IIDE Education Private Limited,Content Writer,Mumbai,,"₹ 3,00,000 - 3,50,000"
Attrangi Designs,Marketing Specialist (Female),Mumbai,,"₹ 3,00,000 - 3,50,000"
Inspacco,Sales Manager,Pune,,"₹ 2,00,000 - 4,00,000"
Vivacys Controls,Automation And Instrumentation Engineer,Mumbai,,"₹ 3,00,000 - 5,00,000"
